MONTH,T,PRELIQ,PRENEI,FF,HU,SSI
1985-01-01,4.680645161290323,89.5,20.6,5.812903225806451,81.49032258064516,266.0225806451613
1985-02-01,6.389285714285714,44.7,4.6,5.125,77.91428571428571,688.4428571428572
1985-03-01,7.193548387096774,149.7,0.0,5.987096774193549,83.16129032258064,751.8419354838709
1985-04-01,10.083333333333334,52.5,0.0,7.166666666666667,83.42333333333333,1207.6433333333334
1985-05-01,11.919354838709678,52.0,0.0,5.661290322580645,86.34516129032258,1661.335483870968
1985-06-01,14.296666666666665,45.4,0.0,4.680000000000001,85.70333333333333,1647.2333333333333
1985-07-01,16.75483870967742,29.7,0.0,4.82258064516129,87.4483870967742,1783.6709677419353
1985-08-01,15.687096774193549,88.1,0.0,5.696774193548387,87.48064516129033,1243.1612903225807
1985-09-01,16.116666666666667,17.2,0.0,3.533333333333333,85.35,1239.29
1985-10-01,12.754838709677419,44.199999999999996,0.0,4.603225806451612,85.1258064516129,822.0032258064516
1985-11-01,8.203333333333333,122.8,0.0,4.516666666666667,81.32666666666667,344.7133333333333
1985-12-01,9.509677419354839,127.7,0.0,5.687096774193549,85.75161290322582,206.26451612903224
1986-01-01,8.0,150.3,0.0,8.387096774193548,81.11935483870967,257.0548387096774
1986-02-01,2.3392857142857144,49.2,3.3,7.7,78.20357142857142,420.3892857142857
1986-03-01,7.790322580645161,96.60000000000001,0.0,6.82258064516129,84.75483870967743,718.2290322580644
1986-04-01,6.886666666666667,92.6,0.0,6.41,82.2,1129.7766666666669
1986-05-01,11.703225806451613,64.7,0.0,5.82258064516129,84.79354838709678,1490.483870967742
1986-06-01,14.6,75.4,0.0,4.256666666666667,87.71666666666667,1591.6066666666666
1986-07-01,16.403225806451612,28.999999999999996,0.0,3.8225806451612905,88.1,1497.7612903225806
1986-08-01,14.551612903225807,74.9,0.0,4.770967741935484,86.37741935483871,1119.7645161290322
1986-09-01,13.386666666666667,105.39999999999999,0.0,5.333333333333333,89.84333333333333,1122.01
1986-10-01,13.538709677419355,96.0,0.0,5.425806451612903,89.02258064516128,627.8225806451613
1986-11-01,10.129999999999999,112.39999999999999,0.0,6.243333333333334,86.16333333333334,337.59666666666664
1986-12-01,9.551612903225807,145.2,0.0,7.958064516129032,83.24193548387096,273.26129032258063
1987-01-01,3.509677419354839,44.4,6.300000000000001,6.72258064516129,79.26451612903226,322.1741935483871
1987-02-01,7.321428571428571,60.699999999999996,1.1,5.442857142857143,86.88571428571429,383.61785714285713
1987-03-01,7.793548387096774,77.5,0.0,7.025806451612904,81.09032258064516,812.2161290322581
1987-04-01,11.413333333333332,66.7,0.0,4.8933333333333335,82.14666666666668,1324.2966666666666
1987-05-01,11.535483870967743,39.3,0.0,5.95483870967742,82.36774193548388,1777.6516129032257
1987-06-01,14.03,86.6,0.0,4.236666666666666,86.65333333333334,1361.5733333333333
1987-07-01,16.616129032258065,43.5,0.0,3.729032258064516,85.37741935483871,1800.8387096774193
1987-08-01,17.322580645161292,15.8,0.0,3.5387096774193547,86.01290322580645,1412.4645161290323
1987-09-01,16.58,54.199999999999996,0.0,4.8,85.70666666666666,963.8366666666666
1987-10-01,12.061290322580644,190.4,0.0,5.464516129032258,83.30322580645162,610.7129032258064
1987-11-01,9.646666666666667,94.4,0.0,6.556666666666667,82.84666666666666,448.6633333333333
1987-12-01,8.958064516129031,70.7,0.0,6.935483870967742,88.2709677419355,210.29677419354837
1988-01-01,8.76774193548387,191.1,0.0,6.735483870967743,89.30645161290323,263.2806451612903
1988-02-01,7.610344827586206,106.1,0.0,8.068965517241379,82.7344827586207,563.5275862068966
1988-03-01,9.187096774193549,124.9,0.0,7.116129032258065,85.04193548387097,733.4193548387096
1988-04-01,10.68,61.5,0.0,6.223333333333333,87.81666666666666,1048.2366666666667
1988-05-01,12.651612903225805,64.4,0.0,4.896774193548388,86.94193548387096,1612.6516129032257
1988-06-01,15.073333333333332,21.200000000000003,0.0,5.8533333333333335,87.98333333333333,1943.0333333333333
1988-07-01,15.838709677419354,83.5,0.0,5.641935483870968,88.00322580645161,1652.3483870967743
1988-08-01,16.864516129032257,74.8,0.0,4.874193548387097,87.83870967741936,1454.716129032258
1988-09-01,15.21,56.1,0.0,5.723333333333333,88.26,973.0233333333333
1988-10-01,13.30967741935484,62.00000000000001,0.0,6.132258064516129,87.30645161290323,657.8419354838709
1988-11-01,9.746666666666668,38.0,0.0,4.676666666666667,86.05333333333333,495.49
1988-12-01,10.438709677419356,50.3,0.0,5.316129032258065,89.32903225806452,250.56774193548387
1989-01-01,8.37741935483871,59.6,0.0,4.687096774193549,90.71290322580644,351.1161290322581
