LAMBX,LAMBY,model,order,seasonal_order,train_n,test_n,rmse,mae,bias,aic,bic,model_file,elapsed_seconds
3480,24250,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4077039187897709,1.091042929769258,-0.3017007874802669,1459.344912496892,1479.3643478324248,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24250.pkl,0.394
3480,24490,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.316524535874538,1.0450645744072153,-0.38210927513572956,1379.4598205693596,1399.4792559048924,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24490.pkl,0.349
3480,24570,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.298134515589303,1.0320743564997386,-0.3472521529830587,1376.3066768516442,1396.326112187177,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24570.pkl,0.345
3560,17690,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.437213396177329,1.1455192821563653,0.12234011068007346,1582.0935707042554,1602.1130060397882,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_17690.pkl,0.258
3560,17610,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4926480076078492,1.1904762855765585,0.07750067829483977,1591.181473481866,1611.2009088173988,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_17610.pkl,0.271
3480,24650,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2910511057991365,1.0282317888965073,-0.3297280945856828,1374.9556351157412,1394.975070451274,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24650.pkl,0.404
3560,17770,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.371525314127831,1.0995958364662128,0.12362268489442453,1561.1077492074567,1581.1271845429894,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_17770.pkl,0.281
3560,17850,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3548063948363418,1.0962076834923646,0.10888615876810381,1558.1432632380506,1578.1626985735834,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_17850.pkl,0.29
3480,24730,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.264368652228383,1.0139378070311105,-0.2639333960315949,1371.0896563994033,1391.109091734936,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24730.pkl,0.43
3480,24810,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.095268036272416,0.8462165563911421,-0.06545241815633095,1309.6194676609252,1329.638902996458,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24810.pkl,0.433
3560,17930,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.482310331243853,1.2047743669816555,-0.43171992416229493,1525.108051675006,1545.1274870105387,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_17930.pkl,0.321
3480,24890,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.071268374114693,0.8365043736205523,0.057264078958841814,1315.8353877317968,1335.8548230673296,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24890.pkl,0.447
3560,18010,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.4226570430524852,1.1836573479772914,-0.6020222148933638,1494.7300676925424,1514.7495030280752,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18010.pkl,0.31
3560,18090,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3969926307508893,1.1677138351468723,-0.6382897154150065,1484.278096991929,1504.2975323274618,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18090.pkl,0.308
3560,18170,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.399727704204335,1.1698768059549651,-0.6355638341737472,1485.194596422658,1505.2140317581907,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18170.pkl,0.309
3560,18330,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3706184674836555,1.1523955093632383,-0.6122846247668913,1479.800327106921,1499.8197624424538,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18330.pkl,0.298
3480,24970,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.0696181676278733,0.8340496311829417,0.06521031698806613,1315.350541459387,1335.3699767949197,results_sarima/all_9892_best_model/models/sarima_lambx_3480_lamby_24970.pkl,0.478
3560,18250,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.37187052250422,1.1536927372110615,-0.663400241817157,1474.7811457995126,1494.8005811350454,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18250.pkl,0.336
3560,18410,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.357794102987011,1.1445461296050412,-0.6068719523562853,1477.5234124293656,1497.5428477648984,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18410.pkl,0.318
3560,18970,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3637858886468313,1.103682813144274,-0.573206193191374,1509.2550752364862,1529.274510572019,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18970.pkl,0.318
3560,19210,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3084925293439926,1.0465320982233675,-0.47990445104258583,1494.7036095374885,1514.7230448730213,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19210.pkl,0.334
3560,18490,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.286869094095257,1.0633183100992512,-0.4310731409676771,1491.9403617358914,1511.9597970714242,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18490.pkl,0.451
3560,18730,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2975818437764797,1.0725358055286207,-0.49988791339424843,1499.7632795592012,1519.782714894734,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18730.pkl,0.416
3560,19290,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2808855883149,1.0271982534060335,-0.4564639258111252,1488.9391402994243,1508.958575634957,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19290.pkl,0.347
3560,18570,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.286869094095257,1.0633183100992512,-0.4310731409676771,1491.9403617358914,1511.9597970714242,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18570.pkl,0.458
3560,19050,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3271533866774594,1.0598053346013157,-0.4963387075442581,1499.7226882178327,1519.7421235533654,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19050.pkl,0.362
3560,19130,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.3193283841571004,1.0547284411385702,-0.4900024285571211,1497.295895750821,1517.3153310863538,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19130.pkl,0.369
3560,18890,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2975818437764797,1.0725358055286207,-0.49988791339424843,1499.7632795592012,1519.782714894734,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18890.pkl,0.425
3560,19370,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2722890061244692,1.0215561429397768,-0.44886873501078073,1486.7402928313554,1506.7597281668882,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19370.pkl,0.348
3560,18650,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.285013785692804,1.0645852950537529,-0.5112572748967754,1496.0456502559468,1516.0650855914796,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18650.pkl,0.498
3560,18810,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.280611497768086,1.063782002246605,-0.5174317307229113,1494.016388229934,1514.0358235654667,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_18810.pkl,0.496
3560,19530,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2540720664034404,1.0163379291508898,-0.2425968879211653,1508.8582642106062,1528.877699546139,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19530.pkl,0.384
3560,19690,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2542241678647876,1.0160104696356165,-0.2444829382837892,1508.8602577020877,1528.8796930376204,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19690.pkl,0.369
3560,19450,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.254332656052836,1.0153140933243783,-0.2477097168811068,1506.9145467513,1526.9339820868327,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19450.pkl,0.423
3560,19610,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.258949369761614,1.0213374004519353,-0.23483424604950046,1511.4433208322107,1531.4627561677435,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19610.pkl,0.407
3560,19770,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2850119243395823,1.0546417726263877,-0.38915235671275267,1485.6808930840464,1505.7003284195791,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19770.pkl,0.427
3560,20490,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2645161416000081,1.0572340764605472,-0.41228746500955654,1487.8265832639079,1507.8460185994406,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_20490.pkl,0.366
3560,19850,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2860429806227185,1.0563344185033021,-0.38855587629574645,1483.637229667963,1503.6566650034958,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19850.pkl,0.427
3560,19930,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2868628316243564,1.0580500037129121,-0.3881973471290429,1482.1778583444307,1502.1972936799634,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_19930.pkl,0.423
3560,20410,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.264045759166425,1.0559319114336938,-0.4125037974079864,1488.1238260496193,1508.143261385152,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_20410.pkl,0.408
3560,20170,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.269455201304907,1.043582533121133,-0.3799154886629068,1484.6573139920654,1504.6767493275981,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_20170.pkl,0.444
3560,20010,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.2716893904736328,1.0439719552723397,-0.3806892609178736,1488.3443869601704,1508.3638222957031,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_20010.pkl,0.458
3560,20330,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.270566930664755,1.0448848150573258,-0.3820569801131033,1483.774257857254,1503.7936931927868,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_20330.pkl,0.468
3560,20090,SARIMA,"(1, 0, 2)","(0, 1, 1, 12)",432,48,1.271755833686667,1.0454908080268766,-0.381680037828486,1485.6287930157055,1505.6482283512382,results_sarima/all_9892_best_model/models/sarima_lambx_3560_lamby_20090.pkl,0.492
