LAMBX,LAMBY,order,seasonal_order,ar.L1,ma.L1,ma.L2,ma.S.L12,sigma2,source_model
8440,21850,"(1, 0, 2)","(0, 1, 1, 12)",0.5673657570441955,-0.4867858453271289,-0.03174272659166084,-0.9441088762344545,3.148628337219787,sarima_lambx_8440_lamby_21850.pkl
8440,21930,"(1, 0, 2)","(0, 1, 1, 12)",0.8392636304066113,-0.7495538410826563,-0.05731146757791262,-0.9487690413822852,3.097113113113909,sarima_lambx_8440_lamby_21930.pkl
8440,22010,"(1, 0, 2)","(0, 1, 1, 12)",0.8280722127211958,-0.7380225951468896,-0.05461077781102547,-0.9505433366973471,3.0548290884494547,sarima_lambx_8440_lamby_22010.pkl
8440,22090,"(1, 0, 2)","(0, 1, 1, 12)",0.5213204009394959,-0.4300482214296149,-0.026634180653508588,-0.9441098246941594,2.978769432750288,sarima_lambx_8440_lamby_22090.pkl
8440,22170,"(1, 0, 2)","(0, 1, 1, 12)",0.5223320137318523,-0.431002301986254,-0.02686497471328757,-0.9445360760572333,2.9737515470845697,sarima_lambx_8440_lamby_22170.pkl
8440,22250,"(1, 0, 2)","(0, 1, 1, 12)",0.5218994437928893,-0.430174651625472,-0.026905972286046242,-0.9443174246767708,2.9749922020298025,sarima_lambx_8440_lamby_22250.pkl
8440,22330,"(1, 0, 2)","(0, 1, 1, 12)",0.5211306015058541,-0.42965666937889146,-0.027052884548586297,-0.9437749527055133,2.981411324100004,sarima_lambx_8440_lamby_22330.pkl
8440,22410,"(1, 0, 2)","(0, 1, 1, 12)",0.5189708577557655,-0.42744473545272466,-0.02662851778599865,-0.9438035290659189,2.982775900662778,sarima_lambx_8440_lamby_22410.pkl
8440,22490,"(1, 0, 2)","(0, 1, 1, 12)",0.47510749910733874,-0.37391053533679725,0.014216465909232373,-1.083597191950676,2.665842852908438,sarima_lambx_8440_lamby_22490.pkl
8440,22650,"(1, 0, 2)","(0, 1, 1, 12)",0.34202670279984393,-0.24481741301158444,0.021790583941294826,-0.9438223175020009,2.9667788511893893,sarima_lambx_8440_lamby_22650.pkl
8440,22570,"(1, 0, 2)","(0, 1, 1, 12)",0.3438321924222421,-0.24551809293207502,0.02201095111246618,-0.9442851164647504,2.9591128694894864,sarima_lambx_8440_lamby_22570.pkl
8440,22730,"(1, 0, 2)","(0, 1, 1, 12)",0.35425242591676875,-0.2559269886122794,0.020757114244168536,-0.9450124190363337,2.956573492166094,sarima_lambx_8440_lamby_22730.pkl
8440,22810,"(1, 0, 2)","(0, 1, 1, 12)",0.34202670279984393,-0.24481741301158444,0.021790583941294826,-0.9438223175020009,2.9667788511893893,sarima_lambx_8440_lamby_22810.pkl
8440,22890,"(1, 0, 2)","(0, 1, 1, 12)",0.3252589880967758,-0.22825998007967868,0.022725228555911994,-0.9421679832155893,2.9845857031101732,sarima_lambx_8440_lamby_22890.pkl
8440,22970,"(1, 0, 2)","(0, 1, 1, 12)",0.3001461433475997,-0.20370934377836655,0.02671550941952823,-0.9377058082665418,3.0365383475675127,sarima_lambx_8440_lamby_22970.pkl
8440,23050,"(1, 0, 2)","(0, 1, 1, 12)",0.27421874762878096,-0.18779144602251832,0.0279864764509694,-0.9405195059641628,3.0629667327365526,sarima_lambx_8440_lamby_23050.pkl
8440,23130,"(1, 0, 2)","(0, 1, 1, 12)",0.2784269869076183,-0.19297382605810376,0.0283036068123031,-1.066020972028795,2.71242434501712,sarima_lambx_8440_lamby_23130.pkl
8440,23290,"(1, 0, 2)","(0, 1, 1, 12)",0.28395531603800217,-0.19245895777024166,0.029577468587112257,-0.9429023332648316,3.12773268499056,sarima_lambx_8440_lamby_23290.pkl
8440,23210,"(1, 0, 2)","(0, 1, 1, 12)",0.2717090591039182,-0.18567479324959896,0.028257508216516795,-0.9414776927213804,3.054791089119066,sarima_lambx_8440_lamby_23210.pkl
8440,23370,"(1, 0, 2)","(0, 1, 1, 12)",0.2996580517160398,-0.21158986296701116,0.02806576584299594,-0.9383369096037326,3.155022564483294,sarima_lambx_8440_lamby_23370.pkl
8440,23450,"(1, 0, 2)","(0, 1, 1, 12)",0.29302445446046865,-0.20305571803278652,0.028469622265707636,-0.9408201396211385,3.141074539730384,sarima_lambx_8440_lamby_23450.pkl
8440,23530,"(1, 0, 2)","(0, 1, 1, 12)",0.28861341283861813,-0.19889126856713488,0.02886549199079309,-0.9412419546027989,3.1368026709569397,sarima_lambx_8440_lamby_23530.pkl
8440,23610,"(1, 0, 2)","(0, 1, 1, 12)",0.2911693443235393,-0.2023861468395908,0.029646522661540112,-0.9393716272584871,3.1467543727609346,sarima_lambx_8440_lamby_23610.pkl
8440,23690,"(1, 0, 2)","(0, 1, 1, 12)",0.2933446725860975,-0.22418725824695046,0.025769481103900625,-0.9437675287958354,3.082121107953751,sarima_lambx_8440_lamby_23690.pkl
8440,23930,"(1, 0, 2)","(0, 1, 1, 12)",0.9314956655140927,-0.8382011408185002,-0.02674946224146675,-0.9334111657103519,3.2449815411972085,sarima_lambx_8440_lamby_23930.pkl
8440,23850,"(1, 0, 2)","(0, 1, 1, 12)",0.2956108030521106,-0.2259298148335187,0.025218299117931484,-0.9454163605213214,3.0700367784612292,sarima_lambx_8440_lamby_23850.pkl
8440,23770,"(1, 0, 2)","(0, 1, 1, 12)",0.29476327790952955,-0.22475361384060502,0.025400177435931856,-0.9465428068029866,3.0653552636322625,sarima_lambx_8440_lamby_23770.pkl
8440,24010,"(1, 0, 2)","(0, 1, 1, 12)",0.9254313434880076,-0.8310594367339772,-0.027041631409829365,-0.9350827586177518,3.2357401262261405,sarima_lambx_8440_lamby_24010.pkl
8440,24090,"(1, 0, 2)","(0, 1, 1, 12)",0.9218219768307814,-0.8268028903433421,-0.02713014613107226,-0.9355245521233129,3.2320966051692235,sarima_lambx_8440_lamby_24090.pkl
8440,24170,"(1, 0, 2)","(0, 1, 1, 12)",0.9128960938467197,-0.8180722599485777,-0.026302153334616392,-0.9369235249533008,3.189474122714096,sarima_lambx_8440_lamby_24170.pkl
8440,24250,"(1, 0, 2)","(0, 1, 1, 12)",0.9188492310427613,-0.8236439605094629,-0.027139683143144095,-0.9361685913739819,3.2181791580802526,sarima_lambx_8440_lamby_24250.pkl
8440,24330,"(1, 0, 2)","(0, 1, 1, 12)",0.9079665838895142,-0.8056948241777775,-0.03436417852813378,-0.9319446334598345,3.159781763009225,sarima_lambx_8440_lamby_24330.pkl
8440,24410,"(1, 0, 2)","(0, 1, 1, 12)",0.9130598380716437,-0.8105045636773327,-0.03474040181888806,-1.0739715688839155,2.7611468134490558,sarima_lambx_8440_lamby_24410.pkl
