center_index,LAMBX,LAMBY,existing_cells_5x5,complete_5x5,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
4198,5960,19530,25,True,1.715633762864246,2.1984793654423145,1.4643831067786628,1.8537556070221508,-0.20410753316508742,0.9189768171884067,14.644772184135666,15.680099792558586
4199,5960,19610,25,True,1.6863552238189103,2.159248577402117,1.4343761687583112,1.8257302600090093,-0.12345738283028546,0.9203337734304835,14.942228748814193,15.446036222211047
4200,5960,19690,25,True,1.7164662773139383,2.198264728943392,1.4639137119854302,1.864439041367223,-0.07196532963162545,0.9163014142943656,14.713517455392266,15.185872892416562
4201,5960,19770,25,True,1.7509251117265192,2.244939778297522,1.5064627888244573,1.919735754251667,-0.03922835110956381,0.9107518292373392,13.961894844320733,14.486091216775419
4202,5960,19850,25,True,1.7703052418415024,2.2732120764270562,1.5399160746839948,1.9675055768121035,0.031918498347138606,0.9060104458621654,13.014092807964165,13.448217295037866
4203,5960,19930,25,True,1.7192877135157696,2.2068065171790643,1.4296245522018278,1.8398784390075302,0.04910021772217023,0.9177477032798694,16.847858507731083,16.627106876617987
4204,5960,20010,25,True,1.747317247981831,2.245230262393023,1.4954339944026076,1.916594301788898,0.06513065811001957,0.911243026489242,14.415427643157026,14.63707157830024
4205,5960,20090,25,True,1.7504625770364173,2.248359420050433,1.5063132710417149,1.9277334295085091,0.03389403204692943,0.9102009698252315,13.947702121576008,14.260441977498944
4206,5960,20170,25,True,1.7676226168622804,2.2707242949529043,1.545894647504752,1.982030325745127,0.1127084993191277,0.904410336069207,12.543852247778963,12.713739393613388
4207,5960,20250,25,True,1.7591119743297763,2.2585841491299528,1.5376564682246798,1.9633498690511635,0.03739122943013603,0.9068463971835088,12.589051142663687,13.071652884508147
4208,5960,20330,25,True,1.653654072044295,2.13040189107843,1.4105211693748736,1.8162218367923448,0.1795068135645299,0.9183036010932771,14.702766847050025,14.747454722124957
4209,5960,20410,25,True,1.6826549462980964,2.1623995095807427,1.4538108762164121,1.8741215052643787,0.20817892161042023,0.9124914195810091,13.600178134272255,13.331394270074396
4210,5960,20490,25,True,1.686401473053289,2.167214248979717,1.4646732355024283,1.884773356675377,0.16779239876859173,0.9112016987279866,13.148010191749531,13.032439798571257
4211,5960,20570,25,True,1.6900555083974438,2.1730424810186335,1.4653893752190716,1.8898028052755822,0.1637647295306944,0.910551228244651,13.293417409195431,13.0342447613026
4212,5960,20650,25,True,1.696900952645301,2.183023597292427,1.4602989881376114,1.8907776104288043,0.1348487314088382,0.910246683235514,13.94318060455152,13.387211536608731
4213,5960,20730,25,True,1.901618950461812,2.4497701753623584,1.7087603559326399,2.2046977946303947,0.027191611156763575,0.8803985916242515,10.141810717774767,10.003892740498147
4214,5960,20810,25,True,1.9688714351177656,2.5386748863566377,1.770476511515036,2.286003557399148,0.053784103111245915,0.8720196774635628,10.076580931799787,9.952882518175029
