center_index,LAMBX,LAMBY,existing_cells_5x5,missing_cells_5x5,complete_5x5
729,3240,18010,25,0,True
730,3240,18090,25,0,True
731,3240,18170,25,0,True
732,3240,18250,25,0,True
733,3240,18330,25,0,True
734,3240,18410,25,0,True
735,3240,18490,25,0,True
736,3240,18570,25,0,True
737,3240,18650,25,0,True
738,3240,18730,25,0,True
739,3240,18810,25,0,True
740,3240,18890,25,0,True
741,3240,18970,25,0,True
742,3240,19050,25,0,True
743,3240,19130,24,1,False
744,3240,19210,23,2,False
745,3240,19290,22,3,False
746,3240,19370,21,4,False
747,3240,19450,20,5,False
748,3240,19530,20,5,False
749,3240,19610,20,5,False
750,3240,19690,20,5,False
751,3240,19770,20,5,False
752,3240,19850,19,6,False
753,3240,19930,18,7,False
754,3240,20010,17,8,False
755,3240,20090,16,9,False
756,3240,20170,15,10,False
757,3240,20250,15,10,False
758,3240,20330,15,10,False
759,3240,20410,15,10,False
760,3240,20490,14,11,False
761,3240,20570,13,12,False
762,3240,20810,13,12,False
763,3240,20890,15,10,False
764,3240,20970,17,8,False
765,3240,21050,18,7,False
766,3240,21130,17,8,False
767,3240,21370,20,5,False
768,3240,21450,21,4,False
769,3240,21530,24,1,False
770,3240,21610,24,1,False
771,3240,21690,25,0,True
772,3240,21770,25,0,True
773,3240,21850,25,0,True
774,3240,21930,25,0,True
775,3240,22010,25,0,True
776,3240,22090,25,0,True
777,3240,22170,25,0,True
778,3240,22250,25,0,True
779,3240,22330,25,0,True
780,3240,22410,25,0,True
781,3240,22490,25,0,True
782,3240,22570,25,0,True
783,3240,22650,25,0,True
784,3240,22730,25,0,True
785,3240,22810,25,0,True
786,3240,22890,25,0,True
787,3240,22970,25,0,True
788,3240,23050,25,0,True
789,3240,23130,25,0,True
790,3240,23210,25,0,True
791,3240,23290,25,0,True
792,3240,23370,25,0,True
793,3240,23450,25,0,True
794,3240,23530,25,0,True
795,3240,23610,25,0,True
796,3240,23690,25,0,True
797,3240,23770,25,0,True
798,3240,23850,25,0,True
799,3240,23930,25,0,True
800,3240,24010,24,1,False
801,3240,24090,23,2,False
802,3240,24170,22,3,False
803,3240,24250,21,4,False
804,3240,24330,20,5,False
805,3240,24410,20,5,False
806,3240,24490,20,5,False
807,3240,24570,20,5,False
808,3240,24650,21,4,False
809,3240,24730,22,3,False
810,3240,24810,23,2,False
811,3240,24890,24,1,False
812,3240,24970,25,0,True
813,3240,25050,25,0,True
814,3240,25130,24,1,False
815,3240,25210,19,6,False
816,3240,25290,14,11,False
817,3320,17770,15,10,False
818,3320,17850,20,5,False
819,3320,17930,24,1,False
820,3320,18010,25,0,True
821,3320,18090,25,0,True
822,3320,18170,25,0,True
823,3320,18250,25,0,True
824,3320,18330,25,0,True
825,3320,18410,25,0,True
826,3320,18490,25,0,True
827,3320,18570,25,0,True
828,3320,18650,25,0,True
829,3320,18730,25,0,True
830,3320,18810,25,0,True
831,3320,18890,25,0,True
832,3320,18970,25,0,True
833,3320,19050,25,0,True
834,3320,19130,25,0,True
835,3320,19210,25,0,True
836,3320,19290,25,0,True
837,3320,19370,25,0,True
838,3320,19450,25,0,True
839,3320,19530,25,0,True
840,3320,19610,25,0,True
841,3320,19690,25,0,True
842,3320,19770,25,0,True
843,3320,19850,24,1,False
844,3320,19930,23,2,False
845,3320,20010,22,3,False
846,3320,20090,21,4,False
847,3320,20170,20,5,False
848,3320,20250,20,5,False
849,3320,20330,20,5,False
850,3320,20410,20,5,False
851,3320,20490,19,6,False
852,3320,20570,18,7,False
853,3320,20650,18,7,False
854,3320,20730,18,7,False
855,3320,20810,18,7,False
856,3320,20890,20,5,False
857,3320,20970,22,3,False
858,3320,21050,22,3,False
859,3320,21130,21,4,False
860,3320,21210,22,3,False
861,3320,21290,21,4,False
862,3320,21370,21,4,False
863,3320,21450,22,3,False
864,3320,21530,24,1,False
865,3320,21610,24,1,False
866,3320,21690,25,0,True
867,3320,21770,25,0,True
868,3320,21850,25,0,True
869,3320,21930,25,0,True
870,3320,22010,25,0,True
871,3320,22090,25,0,True
872,3320,22170,25,0,True
873,3320,22250,25,0,True
874,3320,22330,25,0,True
875,3320,22410,25,0,True
876,3320,22490,25,0,True
877,3320,22570,25,0,True
878,3320,22650,25,0,True
879,3320,22730,25,0,True
880,3320,22810,25,0,True
881,3320,22890,25,0,True
882,3320,22970,25,0,True
883,3320,23050,25,0,True
884,3320,23130,25,0,True
885,3320,23210,25,0,True
886,3320,23290,25,0,True
887,3320,23370,25,0,True
888,3320,23450,25,0,True
889,3320,23530,25,0,True
890,3320,23610,25,0,True
891,3320,23690,25,0,True
892,3320,23770,25,0,True
893,3320,23850,25,0,True
894,3320,23930,25,0,True
895,3320,24010,25,0,True
896,3320,24090,25,0,True
897,3320,24170,25,0,True
898,3320,24250,25,0,True
899,3320,24330,25,0,True
900,3320,24410,25,0,True
901,3320,24490,25,0,True
902,3320,24570,25,0,True
903,3320,24650,25,0,True
904,3320,24730,25,0,True
905,3320,24810,25,0,True
906,3320,24890,24,1,False
907,3320,24970,23,2,False
908,3320,25050,22,3,False
909,3320,25130,20,5,False
910,3320,25210,15,10,False
911,3320,25290,11,14,False
912,3400,17770,18,7,False
913,3400,17850,22,3,False
914,3400,17930,25,0,True
915,3400,18010,25,0,True
916,3400,18090,25,0,True
917,3400,18170,25,0,True
918,3400,18250,25,0,True
919,3400,18330,25,0,True
920,3400,18410,25,0,True
921,3400,18490,25,0,True
922,3400,18570,25,0,True
923,3400,18650,25,0,True
924,3400,18730,25,0,True
925,3400,18810,25,0,True
926,3400,18890,25,0,True
927,3400,18970,25,0,True
928,3400,19050,25,0,True
929,3400,19130,25,0,True
930,3400,19210,25,0,True
931,3400,19290,25,0,True
932,3400,19370,25,0,True
933,3400,19450,25,0,True
934,3400,19530,25,0,True
935,3400,19610,25,0,True
936,3400,19690,25,0,True
937,3400,19770,25,0,True
938,3400,19850,25,0,True
939,3400,19930,25,0,True
940,3400,20010,25,0,True
941,3400,20090,25,0,True
942,3400,20170,25,0,True
943,3400,20250,25,0,True
944,3400,20330,25,0,True
945,3400,20410,25,0,True
946,3400,20490,24,1,False
947,3400,20570,23,2,False
948,3400,20650,23,2,False
949,3400,20730,23,2,False
950,3400,20810,23,2,False
951,3400,20890,24,1,False
952,3400,20970,25,0,True
953,3400,21050,24,1,False
954,3400,21130,23,2,False
955,3400,21210,23,2,False
956,3400,21290,23,2,False
957,3400,21370,23,2,False
958,3400,21450,24,1,False
959,3400,21530,25,0,True
960,3400,21610,25,0,True
961,3400,21690,25,0,True
962,3400,21770,25,0,True
963,3400,21850,25,0,True
964,3400,21930,25,0,True
965,3400,22010,25,0,True
966,3400,22090,25,0,True
967,3400,22170,25,0,True
968,3400,22250,25,0,True
969,3400,22330,25,0,True
970,3400,22410,25,0,True
971,3400,22490,25,0,True
972,3400,22570,25,0,True
973,3400,22650,25,0,True
974,3400,22730,25,0,True
975,3400,22810,25,0,True
976,3400,22890,25,0,True
977,3400,22970,25,0,True
978,3400,23050,25,0,True
979,3400,23130,25,0,True
980,3400,23210,25,0,True
981,3400,23290,25,0,True
982,3400,23370,25,0,True
983,3400,23450,25,0,True
984,3400,23530,25,0,True
985,3400,23610,25,0,True
