center_index,LAMBX,LAMBY,persistence_MAE_C,persistence_RMSE_C,convlstm_MAE_C,convlstm_RMSE_C,convlstm_BIAS_C,convlstm_R2,MAE_improvement_percent,RMSE_improvement_percent
2150,4440,19690,1.6596206426620483,2.158374309539795,1.4185577630996704,1.8210813999176025,-0.14966610074043274,0.9165537357330322,14.525179632359274,15.627174032390583
2151,4440,19770,1.6576780080795288,2.1548526287078857,1.4143389463424683,1.8164621591567993,-0.14953060448169708,0.9171104431152344,14.679513183563095,15.703647898835452
2152,4440,19850,1.6741442680358887,2.185020685195923,1.4256428480148315,1.834102988243103,-0.16827771067619324,0.9161710739135742,14.843488985127893,16.060154456677573
2153,4440,19930,1.6019426584243774,2.0905652046203613,1.3708285093307495,1.758058786392212,-0.20421557128429413,0.9196413159370422,14.427117467546863,15.905096740980692
2154,4440,20010,1.6040241718292236,2.090398073196411,1.3724644184112549,1.7578846216201782,-0.20025621354579926,0.9194696545600891,14.436176055495398,15.906704844393069
2155,4440,20090,1.6522202491760254,2.1413111686706543,1.3872382640838623,1.7890747785568237,-0.19078470766544342,0.9158965945243835,16.037933515480855,16.449565820576286
2156,4440,20170,1.6553192138671875,2.146186113357544,1.3924338817596436,1.798569679260254,-0.17943888902664185,0.914991557598114,15.881246946526185,16.19693799777088
2157,4440,20250,1.6616559028625488,2.1549105644226074,1.3981722593307495,1.808854103088379,-0.17119421064853668,0.9140908718109131,15.856691092174607,16.058970940492458
2158,4440,20330,1.6530989408493042,2.1436243057250977,1.3886899948120117,1.7935888767242432,-0.18291042745113373,0.9154797196388245,15.99474414407697,16.329140701847578
2159,4440,20410,1.6576781272888184,2.148911714553833,1.3933672904968262,1.8004831075668335,-0.17570428550243378,0.9148620963096619,15.944641631019188,16.214189006798815
2160,4440,20490,1.6558741331100464,2.1478729248046875,1.394388198852539,1.8008451461791992,-0.17772459983825684,0.914794921875,15.791413672631448,16.156811449031352
2161,4440,20570,1.6542552709579468,2.147667169570923,1.3971774578094482,1.803839087486267,-0.1697412133216858,0.9157105684280396,15.540395588380372,16.009374588211838
2162,4440,20650,1.6651248931884766,2.1655681133270264,1.407055139541626,1.8221769332885742,-0.160604327917099,0.9145000576972961,15.498522345232844,15.856863514253085
2163,4440,20730,1.648612380027771,2.1377265453338623,1.3910614252090454,1.7925750017166138,-0.1757277548313141,0.9164562225341797,15.622286835816865,16.145729413831273
2164,4440,20810,1.6499537229537964,2.137749195098877,1.3939712047576904,1.792147159576416,-0.18043623864650726,0.9164148569107056,15.514527143090923,16.166631535392806
2165,4440,20890,1.6469933986663818,2.1324527263641357,1.3924332857131958,1.7881195545196533,-0.1852552443742752,0.9165757298469543,15.456049378176665,16.147282778529664
2166,4440,20970,1.6590194702148438,2.1469101905822754,1.4093859195709229,1.80658757686615,-0.154504656791687,0.9156259298324585,15.047053704052868,15.851739640018417
2167,4440,21050,1.6602683067321777,2.148261547088623,1.4121036529541016,1.8111716508865356,-0.14933837950229645,0.9154237508773804,14.947262004086925,15.691287527764947
2168,4440,21130,1.6667437553405762,2.158565044403076,1.4167567491531372,1.820478916168213,-0.13512806594371796,0.9151512384414673,14.998526641328713,15.662540682361357
2169,4440,21210,1.6285383701324463,2.1155943870544434,1.4039578437805176,1.8066285848617554,-0.14566990733146667,0.9160395264625549,13.790312249975662,14.604207880455913
2170,4440,21290,1.6253468990325928,2.1109819412231445,1.3983421325683594,1.8025623559951782,-0.15097060799598694,0.9163203239440918,13.966542563888776,14.610242712415717
2171,4440,21370,1.6247917413711548,2.1106114387512207,1.3992972373962402,1.801495909690857,-0.15112997591495514,0.9164092540740967,13.878363499350428,14.645780999048183
2172,4440,21450,1.6300185918807983,2.1248137950897217,1.3947495222091675,1.7919307947158813,-0.12116023153066635,0.9184700846672058,14.43352062629945,15.666455156828654
2173,4440,21530,1.6268270015716553,2.1208691596984863,1.3919007778167725,1.7872651815414429,-0.12562912702560425,0.9188204407691956,14.440762510575729,15.72958787351457
2174,4440,21610,1.6244680881500244,2.117594003677368,1.3880677223205566,1.7828547954559326,-0.13254547119140625,0.9190842509269714,14.552478288366075,15.807525316001776
2175,4440,21690,1.6264569759368896,2.1184535026550293,1.3914427757263184,1.7845908403396606,-0.12954042851924896,0.9189783930778503,14.44945692923699,15.75973519819732
2176,4440,21770,1.6241905689239502,2.1177361011505127,1.3876434564590454,1.782254934310913,-0.1321580857038498,0.9191462397575378,14.563999877281683,15.84150011218778
2177,4440,21850,1.6640148162841797,2.1375739574432373,1.4114552736282349,1.7961483001708984,-0.15728311240673065,0.9199086427688599,15.1777219880723,15.97257751402996
2178,4440,21930,1.6632283926010132,2.1350789070129395,1.4131555557250977,1.7970761060714722,-0.16398660838603973,0.9198251366615295,15.035387682676769,15.830927832749127
2179,4440,22010,1.6609158515930176,2.133876085281372,1.4110661745071411,1.7950857877731323,-0.1650020182132721,0.9200111031532288,15.0428859382756,15.87675591123029
2180,4440,22090,1.6621646881103516,2.134061574935913,1.4097247123718262,1.793119192123413,-0.15933741629123688,0.9201480746269226,15.187422614874238,15.976220499764102
2181,4440,22170,1.661008358001709,2.134389877319336,1.4099148511886597,1.795607089996338,-0.16613523662090302,0.9199404716491699,15.116932169753174,15.872582180182032
2182,4440,22250,1.664292335510254,2.1375200748443604,1.4145965576171875,1.7993016242980957,-0.17494724690914154,0.9196462631225586,15.003120098880489,15.822936800763914
2183,4440,22330,1.6103144884109497,2.0936503410339355,1.3771297931671143,1.7665356397628784,-0.1668413281440735,0.9213470220565796,14.480692866021528,15.624132399754663
2184,4440,22410,1.6337188482284546,2.1224353313446045,1.40800142288208,1.8058360815048218,-0.14079229533672333,0.9172004461288452,13.816173180050797,14.916791346439322
2185,4440,22490,1.6373265981674194,2.126802444458008,1.410154938697815,1.8097349405288696,-0.133611798286438,0.916818380355835,13.87454767569688,14.908178460832048
2186,4440,22570,1.6357539892196655,2.1243674755096436,1.4091911315917969,1.8074814081192017,-0.13611635565757751,0.9170621037483215,13.850668200781842,14.91672561567625
2187,4440,22650,1.6260408163070679,2.1077463626861572,1.3900851011276245,1.79302978515625,-0.11827374994754791,0.9188934564590454,14.511057337129264,14.931425483701258
2188,4440,22730,1.6254856586456299,2.1072020530700684,1.390707015991211,1.7926965951919556,-0.12204953283071518,0.9189253449440002,14.443599757751093,14.925263451594354
2189,4440,22810,1.625763177871704,2.1074414253234863,1.39216947555542,1.7942372560501099,-0.12018674612045288,0.9187839031219482,14.368249047323303,14.861820855841842
2190,4440,22890,1.625763177871704,2.1074414253234863,1.39216947555542,1.7942372560501099,-0.12018674612045288,0.9187839031219482,14.368249047323303,14.861820855841842
2191,4440,22970,1.6370952129364014,2.1230661869049072,1.3978075981140137,1.807997703552246,-0.1215616911649704,0.9173080325126648,14.616597307934565,14.840257232487927
2192,4440,23050,1.6567068099975586,2.1510016918182373,1.4144407510757446,1.8133535385131836,-0.08166664093732834,0.917561948299408,14.623351425842873,15.697251870575723
2193,4440,23130,1.6585569381713867,2.152484893798828,1.4163910150527954,1.8142343759536743,-0.08318542689085007,0.9174014329910278,14.601001481781335,15.714420055612562
