LAMBX,LAMBY,model,order,seasonal_order,exog_vars,train_start,train_end,test_start,test_end,train_n,test_n,rmse,mae,bias,aic,bic,coef_ETP,coef_SWI,seasonal_ma_L12,sigma2,ETP_mean,ETP_scale,SWI_mean,SWI_scale,elapsed_seconds
3160,22010,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2346735823916755,1.007190052657429,-0.16188355776169072,1422.046573795583,1438.0818265373534,3.062666126427117,0.34675864456843764,-1.0512450617092117,1.6273307130232437,61.49583053588867,38.40325164794922,0.5724329352378845,0.2934286296367645,0.148
3160,22410,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2081597527472345,0.9726749411169658,-0.11288076080894179,1423.1815896383969,1439.2168423801672,3.021714636804055,0.3359467038065344,-1.0521298855780163,1.6297768823547338,60.636573791503906,37.77687072753906,0.5812939405441284,0.26024407148361206,0.131
3160,22250,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2079747405991828,0.9705954439701948,-0.10285481510147493,1422.9464007981578,1438.9816535399282,3.02079209681443,0.3199590157525524,-1.052317646599181,1.628386180326135,60.69583511352539,37.74214172363281,0.5824282169342041,0.30178356170654297,0.142
3160,22090,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2357163727494476,1.0061192515640762,-0.16776262850440937,1420.811617958322,1436.8468707000923,3.059869551271653,0.3527397226023981,-1.0513909785401503,1.6220508011044177,61.45787048339844,38.388484954833984,0.5818148255348206,0.29250410199165344,0.155
3160,22170,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2363775461229518,1.0078483314833757,-0.16542696580436214,1420.6713366945116,1436.706589436282,3.0602103390029263,0.346322702390866,-1.0488797851359823,1.6273992207221926,61.422916412353516,38.375213623046875,0.583564817905426,0.29689157009124756,0.149
3160,22490,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1974779223985064,0.9671147591161264,-0.11385809376406221,1423.4141498631304,1439.4494026049008,3.0304079922320333,0.36057894277442226,-1.0530916200807763,1.628435621677265,60.59953689575195,37.71365737915039,0.6508333683013916,0.24794302880764008,0.123
3160,22330,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.1985316054668826,0.9589197380417008,-0.1018165950320888,1423.2266200522743,1439.2618727940446,3.014086043008421,0.3216931047155964,-1.0519325778062656,1.630433751731236,60.662498474121094,37.744441986083984,0.572268545627594,0.2886376976966858,0.154
3160,22650,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2285850671418632,0.9951900323371442,-0.0750116895078003,1431.9743229036376,1448.009575645408,3.0027667859264957,0.3781443902043447,-1.0252152190251418,1.7279620264881954,60.02360916137695,37.42753601074219,0.5582476854324341,0.26801127195358276,0.154
3160,22570,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.2016980914482644,0.980778536256782,-0.12861290423462346,1422.4756658839929,1438.5109186257632,3.0433095478526955,0.3765362304326563,-1.052627446502293,1.6257566099064555,60.575462341308594,37.69416427612305,0.6413541436195374,0.2458406239748001,0.158
3160,22730,SARIMAX,"(0, 0, 0)","(0, 1, 1, 12)","ETP,SWI",1960-01-01,1995-12-01,1996-01-01,1999-12-01,432,48,1.231864199899295,0.9939798067947758,-0.09169472319170546,1433.2000309150021,1449.2352836567725,2.988655023585968,0.3723610184824754,-1.0234274571440936,1.7370946132160483,60.05254364013672,37.36762237548828,0.534743070602417,0.27483931183815,0.162
